MSG,8,1,1,400159,1,2018/04/03,19:02:28.136,2018/04/10,21:24:39.436,,,,,,,,,,,,
MSG,8,1,1,504DD9,1,2018/04/03,19:02:28.149,2018/04/10,21:24:39.437,,,,,,,,,,,,
MSG,7,1,1,504DD9,1,2018/04/03,19:02:28.285,2018/04/10,21:24:39.437,,6425,,,,,,,,,,
MSG,3,1,1,780A5C,1,2018/04/03,19:02:28.298,2018/04/10,21:24:39.437,,33000,,,,,,,,,,0
MSG,4,1,1,42460C,1,2018/04/03,19:02:28.336,2018/04/10,21:24:39.437,,,418,170,,,0,,,,,0
MSG,4,1,1,400159,1,2018/04/03,19:02:28.337,2018/04/10,21:24:39.437,,,203,314,,,-640,,,,,
MSG,5,1,1,400159,1,2018/04/03,19:02:28.345,2018/04/10,21:24:39.437,,2675,,,,,,,0,,0,
MSG,3,1,1,4249B5,1,2018/04/03,19:02:28.360,2018/04/10,21:24:39.437,,7000,,,,,,,,,,0
MSG,6,1,1,400159,1,2018/04/03,19:02:28.367,2018/04/10,21:24:39.437,,,,,,,,1017,0,0,0,
MSG,8,1,1,504DD9,1,2018/04/03,19:02:28.367,2018/04/10,21:24:39.437,,,,,,,,,,,,
MSG,7,1,1,4249B5,1,2018/04/03,19:02:28.384,2018/04/10,21:24:39.438,,7000,,,,,,,,,,
MSG,7,1,1,4249B5,1,2018/04/03,19:02:28.390,2018/04/10,21:24:39.438,,7000,,,,,,,,,,
MSG,4,1,1,424263,1,2018/04/03,19:02:28.402,2018/04/10,21:24:39.438,,,472,76,,,-64,,,,,0
MSG,8,1,1,400159,1,2018/04/03,19:02:28.136,2018/04/10,21:24:39.438,,,,,,,,,,,,
MSG,8,1,1,504DD9,1,2018/04/03,19:02:28.149,2018/04/10,21:24:39.438,,,,,,,,,,,,
MSG,7,1,1,504DD9,1,2018/04/03,19:02:28.285,2018/04/10,21:24:39.438,,6425,,,,,,,,,,
